"tabela","linhas"
"GE_LOG_PROCESSO","12714111"
"GE_LgTb","11861777"
"IV_AgendaLog","11143876"
"GE_Log2","4591737"
"EXT_VeicModelo","4431168"
"GEP_SyncUsrSat","3970706"
"EXT_VeicPlanoMan","3571257"
"EXT_VeicModPlano","3571235"
"IV_Historico","2485762"
"IV_ProcDado","1532670"
"EXT_NFSItem","1300126"
"IV_Processo","1190768"
"EXT_TituloMov","1134039"
"GEP_JobAgdExecLog","1092904"
"GE_LOG_HISTORICO","1048114"
"IV_Agenda","966941"
"GE_LOG_PESSOA","961628"
"IMP_Titulo","892131"
"IV_ProcStatMonit","865629"
"X_V_IMP_CRM_IMP_NF","815854"
"X_TOTVS_CRM_FATURAMENTO","809821"
"GE_LOG_TRANS","803647"
"IV_Interacao","720525"
"IV_ProcFaseMonit","666855"
"IV_HistLink","645850"
"GE_LOG_EXT","622641"
"IV_ProcLink","602150"
"GEP_EMAILSENT","586458"
"IV_SelecaoPessoa","581059"
"EXT_Titulo","577925"
"GEP_Import_bkpjun","502009"
"X_T_IMP_CRM_TITULO","479271"
"IV_STATUS_DEPTO","477344"
"GE_PessoaFonema","458635"
"X_V_IMP_CRM_IMP_NF_BKP_18_09_2023","415762"
"X_TOTVS_BI_FATURAMENTO_POS_VENDAS","407100"
"IMP_OSITEM","399040"
"EXT_NFS","390755"
"IV_CbrCobrancaTitLog","304684"
"IMP_OS","287868"
"IV_ClientePropr","246938"
"J1_PRODUTO","211292"
"DMN_DocHst","189651"
"EXT_OSITEM","182238"
"IV_Ciencia","173996"
"IV_CBRTITULOHST","173530"
"IV_ClientePropr_ITA","157900"
"IV_CbrCobrancaTit","155204"
"GE_PessoaNomeFonema","152610"
"GE_PessoaMural","145313"
"IVS_Pes","139065"
"IVS_PES_NELSON","134872"
"IV_ProcPerspMonit","129453"
"IV_CBRCRITMON","128167"
"GE_PessoaSimilar","124222"
"X_T_IMP_CRM_TITULO_bkp_11_04","121381"
"GE_Pessoa","119345"
"GE_PessoaFone","113612"
"GE_LOG_CONFIG","110308"
"EXT_Titulo_bkp_11_04","108061"
"IV_HistoricoNota","94333"
"GE_PessoaLink_bkpago22","92068"
"GE_PessoaLink_BKPJUN","90857"
"GE_Pessoa_BKPJUN","88142"
"IV_Questionario","88017"
"EXT_Produto","78749"
"IV_ProcDocto","76693"
"DMN_DocPes","76610"
"DMN_Doc","71488"
"GE_PessoaFone_BKPJUN","69894"
"IMP_NFSItem","67404"
"IV_CbrCobranca","64449"
"IV_ProcProduto","63675"
"nfsaida$","62619"
"IV_ProcRef","61975"
"GE_PessoaLinkbkp","58741"
"EXT_Pessoa","58204"
"GE_ContatoPapel","43663"
"GE_PessoaFone_ITA","42594"
"GE_Contato","41282"
"GE_Email","39402"
"GE_UsuarioPerm","38684"
"GE_ContatoPapel_BKPJUN","35413"
"GE_PessoaLink","33353"
"GE_UsuarioPerm_BKPJUN","31120"
"GE_PessoaEndOutroBc","30943"
"GE_Pessoa_ITA","28377"
"mig_ge_pessoa_bkp","28084"
"GE_Contato_BKPJUN","28051"
"IV_SMSLog","27430"
"EXT_Pessoa_bkpago22","27280"
"IV_SMS","26749"
"GE_ModuloPerm","25218"
"GE_PessoaLink_ITA","24864"
"teste333","24024"
"IV_CbrCobrancaLote","21048"
"IMP_LINKPESSOA","20757"
"GE_LOG_CONTATO","19925"
"IMP_NFS","18378"
"IVS_Pes_RAO_Pneus_02_03","18261"
"EXT_VeicKM","17378"
"IV_HistInfo","17250"
"GE_UsrParam","17043"
"EXT_Titulo_BKP_22_03_2023_BAIXADOS","16705"
"IVS_TGLCLICLIENT","16654"
"GEP_JOBFILALOG","14704"
"EXT_VeicProp","12621"
"GE_PessoaVersao","12021"
"IVS_TGLCLIFIS","11232"
"GE_Contato_ITA","10866"
"GE_Cidade","10214"
"GE_Cidade_BKPJUN","9966"
"ww","8991"
"EXT_OS","8099"
"EXT_Veic","8020"
"IV_Q_OS_GARANTIA","7786"
"IV_PropriLista_ITA","7520"
"IV_PropriLista","7375"
"X_T_IMP_CRM_VEICULO","7279"
"IV_Q_COMISSAO","7165"
"GE_PessoaEnd","6480"
"IV_Q_ACOMPANH_VENDA_JDE","6343"
"IV_AcaoAuto","5958"
"GE_PessoaRelacao","5601"
"GE_PessoaRelacao_BKPJUN","5543"
"IVS_TGLCLIJUR","5438"
"GE_PessoaFis","5314"
"IV_Q_PECAS_AFERICAO","5174"
"GE_ContatoPapel_ITA","5032"
"IV_Q_GAR_DATA_SERVICO","4888"
"GEP_ImportAprovacao","4875"
"EXT_Titulo_BKP_22_03_2023","4635"
"X_TOTVS_BI_FATURAMENTO_MAQUINAS","4612"
"IV_AgdLink","4534"
"IV_Resultado","4209"
"IV_QuestaoLista","3995"
"GE_PessoaEnd_BKPJUN","3739"
"ivs_callcenter","3475"
"IV_GlobalPar","3403"
"IV_Q_ACOMPANHAM_VENDA_IMP","3308"
"GE_CampoMemo","3275"
"gep_excseqcar","3143"
"IV_ResultadoCmpl","3113"
"GE_PessoaRelacao_ITA","3092"
"IV_Q_VENDA_SEMINOVO","3072"
"IV_SelecaoCriterio","2892"
"IV_RESULTADO_3110","2826"
"IV_Q_VENDA","2806"
"GE_PessoaEnd_ITA","2779"
"IV_Q_VENDA_EQUIPAMENTO","2715"
"EXT_APROVACAO","2669"
"GEP_ImportTry","2631"
"IV_Q_ACOMP_VENDA_FINANC","2605"
"GE_UsuarioSenhaMem","2490"
"GE_Figura","2443"
"IVS_CALL_FORAREGIAO","2360"
"IV_Questao","2303"
"IV_Q_CONT_COMISSAO_22","2251"
"IV_Q_SERVICOS_AFERICAO","2204"
"IMP_Titulo_bkp_11_04","2168"
"IV_ProcResultado","2161"
"IV_Q_RESPONSAVEL_TECNICO","2115"
"IV_Q_INCENTIVO","2079"
"IV_ClienteAtrib","2018"
"OUT_Pessoa","1918"
"GE_Membro_BKP20250520","1915"
"GE_PessoaClasse","1909"
"IV_Q_ADM_FINANCEIRO","1884"
"OUT_Log","1766"
"IV_Q_AFERICAO_PECAS","1719"
"IV_Q_ACOMPANHAMENTO_VENDA","1715"
"gep_excseqcarok","1668"
"IV_Q_SERVICO_EXTERNOS_JD","1662"
"GE_Membro","1593"
"EXT_TIT_ACRESC","1575"
"IMP_REL_TBA101_PG2","1558"
"IV_Q_ACOMP_VEND_MAQUINAS","1535"
"IV_Q_VENDA_PERDIDA","1511"
"IV_Q_GESTAO_CREDITO","1506"
"GE_Alias","1413"
"GE_Usuario","1388"
"IVS_PES_MAQ_PECAS","1365"
"IV_ResMsgPapel","1338"
"IVS_PES_PNEUS","1313"
"GE_Usuario_BKP20250520","1302"
"EXT_Pot_Pecas","1287"
"GE_PessoaNota","1232"
"gep_excfrota","1180"
"ge_pessoaativa","1175"
"IV_AgendaCtrl","1172"
"GEP_EXCFROTASEQ","1128"
"GEP_EXCFROTASEQDEL","1082"
"IV_Q_CHASSI_ENTREGA_FISIC","1064"
"IV_Q_CHASSI_EQUIPAMENTO","1039"
"TEMP","1026"
"VBI_CONTA","1004"
"VBI_CONTAFAM","1004"
"CONTAS","1003"
"CONTAS2","1003"
"IV_ClientePropr_BKPJUN","1000"
"IV_Acao","980"
"IV_Q_AFERICAO_VENDA_MAQ","979"
"IV_Q_OFERECE_RENOV_SEGURO","975"
"IV_ResVinc","966"
"IV_Operador","941"
"IV_VENDEDOREMPR","940"
"IV_Q_AFERICAO_MAQ_1_CONT","873"
"IV_Q_AVALIA_USADO_ENTRADA","823"
"GE_POLSEGPERM","818"
"IV_Q_GESTAO_PRODUTO_IMPL","813"
"IV_Q_GESTAO_CREDITO_IMP","807"
"IV_Q_VENDA_AMS","775"
"IV_Q_RETORNADO_JD","773"
"IV_Q_OS_ABERTA","771"
"IV_Q_CHASSI_PMP","767"
"GEP_Import","743"
"IV_ProcAcao","740"
"Espaco_Tabelas","735"
"GE_Cidade_CRM","729"
"IV_ObjFlow","726"
"IVS_CartCid","673"
"IVS_Carteira","655"
"IV_Q_QUALIDADE_PECAS","642"
"IV_Q_GAR_FAB_SOL_PECA","640"
"IV_Q_AFERICAO_SERVICOS","635"
"GE_SyncParam","635"
"IV_Q_COMISSAO_AMS","633"
"IV_Distribui","620"
"GE_Bairro","619"
"IV_Q_AFERICAO_VENDA_MQ_IM","604"
"IV_Q_DEVOLUCAO_PECA","581"
"GE_QVConsVar","581"
"EXT_Vendedor","563"
"IV_Selecao","550"
"IV_Q_AFERICAO_MAQ_2_CONT","541"
"IV_Q_AFERICAO_MAQ_3_CONT","484"
"IV_Q_PRODUTO_RD","473"
"teste_acesso","471"
"IV_Q_VENDA_SERVICOS_AMS","468"
"IV_Q_AFERICAO_POS_SOLUCAO","452"
"IV_Q_COMISSAO_SERV_AMS","448"
"IV_Q_AFERICAO_IMPLEMENTO","440"
"gep_excfrotarep","425"
"GE_ParamLista","405"
"IV_Q_VENDER_RENOVACAO_SEG","362"
"IV_ListSQL","360"
"IV_VENDEDOR","351"
"IV_Q_QUALIDADE_SERVICOS","345"
"EXT_NFSOperEmp","330"
"IV_Q_VENDA_PERDIDA_MAQIMP","313"
"GE_Permissao","302"
"IMP_REL_TBA101","302"
"IV_Q_VENDA_PERDIDA_JDE","296"
"GE_CTRL2","287"
"IV_Q_VENDA_PERDIDA_PROD","286"
"IV_ProcFase","273"
"IV_Q_ACOMP_VENDA_DIRETAJD","270"
"IV_AcaoRem","266"
"IV_Q_ACOMP_VENDA_USADO","256"
"GE_PolSegCtrl","254"
"IV_Q_DEMONSTRACAO_JD","252"
"IV_ProcSt","250"
"IV_Q_VENDA_PERDIDA_FY25","247"
"VBI_CONTAPAI","243"
"EXT_NFSOper","241"
"IV_Q_COMISSAO_USADO","240"
"GE_ParametroGlobal","239"
"GE_PessoaAlerta","237"
"IV_ResClasse","236"
"GE_QVRegra","234"
"IV_CbrCriterioDef","231"
"GE_Col","217"
"IV_TxtPadrao","212"
"IV_Q_APRESENTACAO","211"
"IVS_CartDepto","206"
"IV_Q_AVAL_USADO_ENTRADA","200"
"IV_GlobalParLista","197"
"GE_ObjDinamico","196"
"IV_ProcVinc","192"
"GE_Aplicacao","184"
"GE_AtributoFixo","183"
"IV_USRSTATUS","183"
"IV_Campanha","179"
"IV_Q_GESTAO_PRODUTO___AMS","177"
"IV_Formulario","176"
"IV_Q_GESTAO_CREDITO_AMS","175"
"usuarios$","158"
"IV_Q_LICENCAS_PUK","156"
"IV_Q_ACOMPAN_COMPRA_JDE","153"
"OUT_Contato","147"
"IV_Q_COMISSAO_CONTACHAVE","144"
"IV_Q_QUALIDADE_VENDAMAQ","141"
"GE_QVCons","134"
"IV_Evento","132"
"IVS_DEPTOPOT","126"
"IV_Q_VENDA_PERDIDA_IMPLEM","125"
"IV_Q_ACOMP_VENDA_DIRETA","125"
"GE_TipoLogradouro","124"
"GE_ObjDinAplic","124"
"IV_Q_APRESENTACAO_JDE","123"
"IV_CbrCriterio","122"
"OUT_PessoaLink","122"
"GE_QVPastaCons","114"
"IV_Q_DEMO_MAQUINAS","109"
"GE_PolSegItem","108"
"DMN_DocTp","108"
"IV_Q_COMPETIDORES_NA_NEG","104"
"IV_Q_PROSPECCAO_SERV__JD","104"
"IV_Q_COMPETIDORES_NA_NEGO","101"
"IV_Q_ACOMPAN_VEND_CONCESS","98"
"IV_ResultadoInstr","98"
"IV_Q_VP_SEM_PARTICIPACAO","94"
"ivs_callcidades","83"
"IV_Q_COTA_CONSORCIO","81"
"GEP_Fila","81"
"IV_Q_OS_CORTESIA","78"
"GE_Sequencia","77"
"IV_Q_REV_DATA_SERVICO","74"
"GEP_JOBCAD","71"
"GEP_UsrSat","71"
"GE_QVConsHst","69"
"EXT_VeicFam","68"
"IV_Q_EVENTOS_AFERICAO","67"
"IV_ProcPersp","67"
"GE_PolSegItLst","66"
"IV_Q_LIBERAR_DEMONSTRACAO","65"
"IV_Q_DEMONSTRACAO_NF","64"
"IVS_DeptoRes","63"
"IV_CodProcesso","62"
"IV_Q_CHEGADA_IMPLEMENTO","61"
"IV_Q_AVALIA_IMPLEM_USADO","60"
"IV_Propriedade","52"
"GEP_IMPORT_GUI","52"
"EXT_AGUARDENTREGA","52"
"IV_ConhecLeitura","50"
"IV_GlobalParCtrl","48"
"IV_Q_PEDIDO_SAM","48"
"GE_Modulo","48"
"IV_Q_VENDA_CONSORCIO","47"
"IV_Q_PERCEPCAO_JD","45"
"IV_Motivo","45"
"IV_AcaoCtrl","44"
"IV_Q_DEMO_TRATOR","43"
"IV_Q_APRESENT_IMPLEMENTO","43"
"IV_ClasseRes","40"
"EXT_VEICREF","40"
"GE_QVConsCol","40"
"IV_Q_DEMONSTRACAO_LOG","39"
"IV_AtribLista","37"
"GE_CtrlME","36"
"IV_SelecaoColList","35"
"GE_CTRLUSR","33"
"GE_Mod","32"
"IV_Propriedade_ITA","32"
"IV_Q_AFERICAO_CSC","32"
"IV_Q_DEMONSTRACAO_TRATOR","32"
"IV_Q_AGUARDAR_PECAS","31"
"IV_Q_AFERICAO_SERV_WEB","31"
"GE_CtrlM","31"
"IV_Q_VENDA_PERDIDA_IMPL","31"
"GE_AppModulo","30"
"IVS_Depto","29"
"GE_QVPasta","28"
"IV_Q_APROVACAO_TCSM","27"
"IV_Q_ACOMPANHA_COMPRA_IMP","26"
"IV_Q_INTERESSE_PROJETO_IR","25"
"GEP_JOBFILA","25"
"GEP_JOBAGD","25"
"IV_Q_PROPOSTA_COMERCIAL","24"
"SYSCONVERT2","24"
"IV_Q_RESULTADO_DEMO","23"
"EXT_VEICFAMREF","23"
"EXT_CONDPAGTO","22"
"GE_IMPORTA_CART","22"
"IV_PcteAtrFx","22"
"IV_OPTEMAIL","21"
"IV_Propriedade_BKPJUN","21"
"IV_Q_PREMIO_DEMO","21"
"IV_Q_DOC_ANALISE_CREDITO","21"
"IV_Q_ACOMP_VENDA_MANITOU","21"
"IV_Q_VP_TRATOR","21"
"IV_ConhecFonema","19"
"GE_Empresa","18"
"GE_CampoPerm","17"
"IV_CodPrcEmpr","17"
"IV_OcrmDest","17"
"IV_OcrmAgd","16"
"IV_Q_RECEBIMENTO_A_PRAZO","16"
"GE_CtrlE","16"
"IV_Q_VISITA_EXP_CLIENTE","16"
"IV_Q_LOCACAO_COMISSAO","15"
"IV_Q_ACOMP_VENDA_LOCACAO","15"
"IV_Q_PEDIDO_KAM","14"
"GEP_ParRecebe","14"
"SYSCONVERT3","14"
"IVS_DeptoEmpr","13"
"IV_Q_VENDA_PERDIDA_SEGURO","13"
"IV_Q_COMPETID_NEGOC_IMPL","13"
"GE_Tab","12"
"IV_Q_VENDAPERDIDA_SEGURO","12"
"IVT_DePara","12"
"testepiv","12"
"GE_PolSeg","11"
"GE_Sistema","11"
"IV_Q_INTERESSE_FUTURO_PRO","10"
"IV_Q_ABERTURA_OS_REVISAO","10"
"IV_Atributo","10"
"IV_Conhecimento","9"
"OUT_PessoaRelacao","9"
"IV_Q_VENDA_PNEUS","9"
"IVS_Segm","8"
"GEP_Processo","8"
"GE_EMAILTEMPLATE","8"
"GE_TempLong","7"
"IV_Q_DEVOLUCAO_PUK","7"
"IV_Q_SEPARACAO_PEDIDO","6"
"IV_DoctoApl","6"
"IV_Q_VENDA_PERDIDA_MANITO","6"
"IV_TxtPadraoUso","5"
"mig_ge_pessoa","5"
"EXT_VeicMarca","5"
"IV_OpBloq","4"
"IV_Q_RECEBIMENTO_FINANC","4"
"IV_Q_PREVISAO_RECEBIMENTO","4"
"IV_Q_ATUALIZACAO_PUK","4"
"IV_Q_AVALIACAO_AMS_USADO","4"
"IV_Q_CANCELAMENTO_SEGURO","4"
"IV_Q_VENDA_VP_PNEUS","4"
"IV_Q_VISITA_DSI","4"
"IV_Q_VP_COLHEITADEIRA","3"
"IV_Q_VP_PLANTADEIRA","3"
"SYSCONVERT1","3"
"IV_Q_AFERICAO_MAQ_3_WEB","3"
"IV_Q_TESTE_PRIMEIRO_JD","3"
"IV_DoctoAplUso","3"
"IV_DoctoTipo","3"
"IV_CBRCRITERIOMSG","3"
"andre","3"
"GE_ConsultaVar","3"
"GEP_ParEnvia","3"
"GE_PolSegAces","3"
"GEP_JobMonitor","2"
"GE_Consulta","2"
"GE_EMAILAGD","2"
"EXT_VeicMarcaEmp","2"
"IV_OPTFONE","2"
"IV_Q_TESTE1","2"
"IV_Q_AFERICAO_MAQ_1_WEB","2"
"IV_Q_AFERICAO_DE_PECAS","2"
"IV_Q_VENDA_PRECISION_UP","2"
"IV_Q_VP_COLHEDORA","1"
"IV_Q_VENDA_DSI","1"
"IV_TIPOCONTEUDO","1"
"IVS_UsrMeta","1"
"IV_Q_AFE_VENDA_MQ_IM_USAD","1"
"IV_Q_AFERICAO_MAQ_2_WEB","1"
"IV_Q_AVALIA_COLHEIT_USADA","1"
"IV_Q_AVAL_COLH_CANA_USADA","1"
"IV_Q_TESTE2","1"
"IV_Q_TICKET_DSI","1"
"IV_Q_ROMANEIO_DEV_PECA","1"
"IV_Q_SOLICITACAO_TCAT","1"
"IV_Q_REVISAO_450_600H","1"
"IV_Q_REVISAO_100H","1"
"IV_Q_REVISAO_1100_1150H","1"
"IV_Q_HORIMETRO_AGREGA","1"
"IV_Produto","1"
"IV_Pcte","1"
"IV_Processo_bkp20250717","1"
"IV_CodProcComent","1"
"IV_Agenda_bkp20250717","1"
"EXT_VeicTipoMan","1"
"DUAL","1"
"GE_CONSSQL","1"
"GE_PolSegParams","1"
"GE_PessoaUnidade","0"
"GE_PROCESSOWEB","0"
"GE_Regiao","0"
"GE_RelPasta","0"
"GE_RelPastaCons","0"
"GE_RELTEMPLATE","0"
"GE_Rota","0"
"GE_URACENARIO","0"
"GE_UsrAcSp","0"
"GE_UsrCtrl","0"
"GE_USUARIOCMPL","0"
"GE_UsuarioLink","0"
"GE_PessoaAlt","0"
"GE_PESSOAATIVAUSR","0"
"GE_Pessoa_BKP28052025","0"
"GE_PessoaDel","0"
"GE_PessoaDestino","0"
"GE_PessoaEmail","0"
"GE_PessoaEndAlt","0"
"GE_PessoaJur","0"
"GE_PessoaPasw","0"
"GE_PESSOAREDESOCIAL","0"
"GEP_JOBNOTIFICAR","0"
"GEP_Notificar","0"
"GEP_PABX","0"
"GEP_ImportErro","0"
"GE_TabRegra","0"
"GEP_EMAILSENTREL","0"
"GEL_CEP","0"
"GEL_CepAlerta","0"
"GEL_CepOrig","0"
"GEL_Cidade","0"
"GEL_Conv","0"
"GEL_ConvDe","0"
"GEP_CidadeEmprDest","0"
"GEP_EMailSend","0"
"GEP_EMAILSENDREL","0"
"IMP_NFSCMPL","0"
"IMP_LOGAPROVACAO","0"
"Gep_UsrPabx","0"
"GEP_ProcImport","0"
"GEP_ParRecEnvia","0"
"GEP_ProcControle","0"
"IMP_EMAIL","0"
"IMP_Evento","0"
"IMP_FORMAPGTO","0"
"IV_ACAOANEXA","0"
"IV_AcaoAtendente","0"
"IMP_VEICULO","0"
"IMP_VEICULO_INTEGRADO","0"
"IMP_OSSOLIC","0"
"IMP_Pedido","0"
"IMP_PedidoItem","0"
"IMP_PESSOA","0"
"IMP_PESSOACONTATO","0"
"IMP_PESSOAFONE","0"
"IMP_PRODUTO","0"
"GE_CONSVAR","0"
"GE_CONSVARLST","0"
"GE_CONTATOAPP","0"
"GE_ContatoEmail","0"
"GE_ColPosition","0"
"GE_ColRegra","0"
"GE_CONSHST","0"
"GE_CIdadePref","0"
"GE_DiaNaoUtil","0"
"GE_CTRLMU","0"
"GE_FCadConj","0"
"GE_FCadF","0"
"GE_FCadInstCred","0"
"GE_FcadRBanc","0"
"GE_FcadRCom","0"
"GE_FCadRPes","0"
"GE_FERIADO","0"
"GE_EMAILINVALIDO","0"
"GE_EmailSpam","0"
"GE_FONEINVALIDO","0"
"GE_Grafico","0"
"GE_Help","0"
"GE_IntCtrl","0"
"GE_LOG_CARTCRED","0"
"GE_MobileConfig","0"
"GE_MOBILEPROP","0"
"GE_PesDelVinc","0"
"GE_LogAtividade","0"
"EXT_NFSCmpl","0"
"EXT_PESSOACONTATO","0"
"EXT_PESSOAFONE","0"
"EXT_OSSolic","0"
"EXT_Pedido","0"
"EXT_PedidoItem","0"
"CBR_CLIENTECONTA","0"
"CLARITY_BINA","0"
"DMN_DocArq","0"
"DMN_DocObs","0"
"EXT_EMAIL","0"
"EXT_FormaPgto","0"
"DMN_DocVrs","0"
"DMN_DocProj","0"
"DMN_DocProp","0"
"EXT_VeicPlanoMnFX","0"
"GE_CFinConj","0"
"GE_CFinDocto","0"
"GE_CFinFis","0"
"GE_CFinRPes","0"
"GE_CampoExig","0"
"EXT_VeicAgd","0"
"EXT_VEICAGDERP","0"
"EXT_VeicAvalFoto","0"
"EXT_VeicAvalia","0"
"EXT_TituloCmpl","0"
"IV_AGENDACMPL","0"
"IV_ACAOURACENARIO","0"
"IV_BaseInformacao","0"
"IV_BonusCC","0"
"IV_CampPesMsg","0"
"IV_CampPessoa","0"
"IV_CAMPSELECAO","0"
"IV_CampVoucher","0"
"IV_CartContratante","0"
"IV_CartCred","0"
"IV_CartLoteCartao","0"
"IV_CartLoteImp","0"
"IV_CartMarca","0"
"IV_CARTPESORIGEM","0"
"IV_CARTPESSOA","0"
"IV_CartProduto","0"
"IV_CartProposta","0"
"IV_CartTitular","0"
"IV_AcaoMon","0"
"IV_AcaoAutoCtrl","0"
"IV_AcaoCmpl","0"
"IV_AGDPLANACAO","0"
"IV_AGDPLANTRG","0"
"IV_AgdRec","0"
"IV_AgdUsr","0"
"IV_AtdBloq","0"
"IV_Atendente","0"
"IV_Ativ","0"
"IV_AtivAgenda","0"
"IV_ATIVGRUPO","0"
"IV_ATIVMODELO","0"
"IV_ATIVPADRAO","0"
"IV_AtivProc","0"
"IV_CustoMidia","0"
"IV_Departamento","0"
"IV_ClientePropCmpl","0"
"IV_CobrCrit","0"
"IV_CobrCritAgd","0"
"IV_CobrCritDef","0"
"IV_CobrCritMon","0"
"IV_CobrTit","0"
"IV_CbrTitulo","0"
"IV_CFinDocAceito","0"
"IV_AGENDAITEM","0"
"IV_CBRCOBRANCAHST","0"
"IV_CbrCobrancaMon","0"
"IV_ProcAtiv","0"
"IV_ProcComent","0"
"IV_PROCPESLINK","0"
"IV_ProcRelacao","0"
"IV_ProcProjeto","0"
"IV_ProjColec","0"
"IV_ProjDocto","0"
"IV_ProjEquipe","0"
"IV_Projeto","0"
"IV_ProjPessoa","0"
"IV_PROCTAG","0"
"IV_ProcTpRel","0"
"IV_PropriListaLk","0"
"IV_PUSH","0"
"IV_OS","0"
"IV_PAREVTEXTRES","0"
"IV_Pessoa","0"
"IV_PessoaStat","0"
"IV_PlanoAtiv","0"
"IV_ObjVenda","0"
"IV_LEADFACEBOOK","0"
"IV_LEADFACEITEM","0"
"IV_eMail","0"
"IV_EMAILESTATISTICA","0"
"IV_ESTRPRODUTO","0"
"IV_EventoAcao","0"
"IV_FichaNegVeic","0"
"IV_FoneCtrl","0"
"IV_FoneCtrl2","0"
"IV_FoneCtrlHst","0"
"IV_HISTORICOTAG","0"
"IV_Q_EXP_FLUXO_MODELER","0"
"IV_Q_FORA_SERVICO_PMP","0"
"IV_Q_FORM_TREINO","0"
"IV_Q_ORIGEM_DA_RENDA","0"
"IV_Q_PEDIDO_GC","0"
"IV_Q_OS_REVISAO_ENTREGA","0"
"IV_Q_REVISAO_1500H","0"
"IV_Q_REVISAO_800H","0"
"IV_Q_REVISAO_FIM_GARANTIA","0"
"IV_Q_PESQUISA_NPS","0"
"IV_Q_PESQUISA_TI","0"
"IV_Q_RECEBIMENTO_COMISSAO","0"
"IV_Q_RECEB_FINAN_IMPLEM","0"
"IV_Q_AVAL_TRATORES_USADOS","0"
"IV_Q_CADASTROS_LISTAS","0"
"IV_Q_CANCEL_RENOVACAO_SEG","0"
"IV_Q_CANHOTO_DIGITAL","0"
"IV_Q_COM_INTERESSE_FUTURO","0"
"IV_Q_CONDICOES_DE_VENDAS","0"
"IV_Q_COMISSAO_VD_LOCACAO","0"
"IV_Q_DEMONSTR_COLHEITAD","0"
"IV_Q_DEMO_EQUIP_JD","0"
"IV_Q_DEMO_IMPLEMENTO","0"
"IV_Q_ALTERADO_PAGAMENTO","0"
"IV_Q_APRESENT_EQUIPAMENTO","0"
"IV_Q_AFERICAO_SUPORTE_INT","0"
"sysdiagrams","0"
"SYSDUMMY","0"
"teste_fefa","0"
"teste","0"
"IV_TpPgto","0"
"IV_TxtPadConta","0"
"IV_Unidade","0"
"IV_URADISPARO","0"
"IV_URARELATORIO","0"
"IV_USRPUSH","0"
"IV_SELPROMOPRD","0"
"IV_TAGCAD","0"
"IV_TC_PESSOA","0"
"IV_TEMPLATEPROJ","0"
"IV_ResultadoReq","0"
"IV_ResultadoWeb","0"
"IV_RetProcRegra","0"
"IV_SegPerfil","0"
"IV_ResEvtOut","0"
"IV_RESJOB","0"
"IV_ResParam","0"
"IV_Recurso","0"
"IV_RecUso","0"
"IV_Q_VENDA_MAQUINA_FY25","0"
"IV_Q_VENDA_DIRETA","0"
"IV_Q_VENDA_PERDIDA_TESTE","0"
"IV_Q_VP_PULVERIZADOR","0"
"IV_Q_VP_RENOVACAO_SEGURO","0"
"IVS_DeptoDePara","0"
"IVS_Regional","0"
"JDE_CATEGORY","0"
"JDE_EQUIPAMENTS","0"
"JDE_PURCHASE","0"
"JDE_QUOTE","0"
"JDE_QUOTE_ITEM","0"
"JDE_SALES_PERSON","0"
"JDE_SUB_CATEGORY","0"
"LOG_INTEGRACAO_FATURAMENTO_TOTVS","0"
"IVS_NegCategoria","0"
"IVS_Negocio","0"
"IVS_Categoria","0"
"IVS_CanalVenda","0"
"IVS_CartCategoria","0"
"IV_WHATSAPP","0"
"IVC_ATENDENTE","0"
"IVC_ATENDENTELOG","0"
"IVC_CHAMADALOG","0"
"IVC_EQUIPE","0"
"IVC_EQUIPEUSR","0"
"IVC_RAMAL","0"
"IVF_Acordo","0"
"IVF_Agregado","0"
"IVF_AgregCC","0"
"IVF_Financeira","0"
"IVF_FinancEmpr","0"
"IVF_FinancImpTx","0"
"IVF_Molicar","0"
"IVF_Plano","0"
"IVF_PlanoIndic","0"
"IVF_Prazo","0"
"IVF_Proposta","0"
"IVF_PropostaHst","0"
"IVF_PropostaObs","0"
"IVF_PropostaResult","0"
"IVF_Tabela","0"
"IVF_TabelaFiltro","0"
"IVF_TabEmpr","0"
"IVF_TabIndice","0"
"IVF_TipoAgregado","0"
"IVF_TpAgrPessoa","0"
"IVM_Material","0"
"IVM_MatPessoa","0"
"IVM_ProcMat","0"
"IVM_ProcMatItem","0"
"IVP_PedCritica","0"
"IVP_ProdImagem","0"
"IVP_TabPreco","0"
"IVP_Vendedor","0"
